year;competition_name;Apollon's Wheels;Max Deadlift;Hummer Push;Timber Carry;Medicine Ball Toss;Hammer Lift;Dumbbell Press;Weight Throw;Super Yoke;Manhood Stones;Austrian Oak;Bale Tote;Cyr Dumbbell;Bag Over Bar;Stone to Shoulder;Húsafell Stone;Wheel of Pain;Trial by Stone;Max Squat;Max Log Lift;Steintossen;Webster Stones;Stones of Strength;Car Walk;Farmer's Walk;Atlas Stones;Truck Pull;Natural Stones;Frame Carry;Stone Over Bar;Log Lift;Deadlift;Arm Over Arm Pull;Keg Toss;Squat Lift;Viking Press;Power Stairs;Medley;Axle Press;Tank Pull;Sack Carry;Loading Race;Boat Pull;Car Flip;Crucifix Hold;Bar Bend;Tug of War;Tire Flip;Hercules Hold;Rock Press;Conan's Wheel;Wheelbarrow Carry;Block Carry;Max Axle Press;Shield Carry;Overhead Medley;Front Hold;Bus Pull;Flip & Drag;Nicol Stones;Deadlift Ladder;Carry & Drag;Log Ladder;Load & Push;Deadlift Hold;Fingal's Fingers;Carry Medley;Log Medley;Africa Stone;Sled Pull;Keg Carry;Hip Lift;Carry & Flip;Cross Carry;Pole Push;Safe Lift;Dumbbell Medley;Max Stone Press;Vertical Lift;Cyr Dumbbell Ladder;Inver Stones;Rogue-a-Coaster;The Duel;Sandbag Toss;Leg Press;Medley #1;Chest Press;Medley #2;Flag Hoist;McGlashen Stones;Plane Pull;Train Pull;Fridge Carry;Ding Carry;Circus Barbell;Kettlebell Toss;Overhead Press;Giant's Medley;Titan's Turntable;Flintstone Barbell;Max Dumbbell;Basque Circle;Car Pull;Giant Farmer's Walk;Wrestling;Block Press;Norse Hammers;Load & Drag;Bullion Toss;Last Man Standing;Elephant Carry;Load & Carry;Circle of Strength;Loading Medley;Pickaxe Hold;Stone Off;Train Push;Wrecking Ball Hold;Deadlift Machine;Chain Railway Carriage;Axle Death-Lift
2010;Giants Live Ukraine;;;;;;;(Eliminated);;21.76 s;;;;;;;;;;;;;;;;;(Eliminated);;;;;;4 reps;8.68 m;;;8 reps;;;;;;;;;;;;;;;(Eliminated);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Ukraine;;;;;;;(Eliminated);;23.12 s;;;;;;;;;;;;;;;;;(Eliminated);;;;;;8 reps;;;;14 reps;;;;;;;;;;;;;;;(Eliminated);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Ukraine;;;;;;;(Eliminated);;23.83 m;;;;;;;;;;;;;;;;;(Eliminated);;;;;;0 reps;10.88 m;;;5 reps;;;;;;;;;;;;;;;(Eliminated);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Ukraine;;;;;;;(Eliminated);;31.19 s;;;;;;;;;;;;;;;;;(Eliminated);;;;;;0 reps;7.41 m;;;3 reps;;;;;;;;;;;;;;;(Eliminated);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Ukraine;;;;;;;(Eliminated);;30.36 s;;;;;;;;;;;;;;;;;(Eliminated);;;;;;1 rep;;;;9 reps;;;;;;;;;;;;;;;(Eliminated);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Giants Live Finland;;;;;;;;;;;;;;;;;;;;;;;;;;;37.14 s;;;;4 reps;10 reps;;;;;;;;;;5 in 37.37 s;;;;;;34.00 s;;;;;;;;;57.95 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Giants Live Finland;;;;;;;;;;;;;;;;;;;;;;;;;;;33.08 s;;;;8 reps;7 reps;;;;;;;;;;5 in 46.41 s;;;;;;43.04 s;;;;;;;;;69.74 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Giants Live Finland;;;;;;;;;;;;;;;;;;;;;;;;;;;40.93 s;;;;7 reps;9 reps;;;;;;;;;;5 in 39.04 s;;;;;;38.68 s;;;;;;;;;57.85 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Giants Live Finland;;;;;;;;;;;;;;;;;;;;;;;;;;;38.19 s;;;;5 reps;6 reps;;;;;;;;;;4 implements;;;;;;35.59 s;;;;;;;;;40.56 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Giants Live Finland;;;;;;;;;;;;;;;;;;;;;;;;;;;37.75 s;;;;4 reps;0 reps;;;;;;;;;;5 in 38.25 s;;;;;;41.99 s;;;;;;;;;52.13 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
