year;competition_name;competitor;Apollon's Wheels;Max Deadlift;Hummer Push;Timber Carry;Medicine Ball Toss;Hammer Lift;Dumbbell Press;Weight Throw;Super Yoke;Manhood Stones;Austrian Oak;Bale Tote;Cyr Dumbbell;Bag Over Bar;Stone to Shoulder;Húsafell Stone;Wheel of Pain;Trial by Stone;Max Squat;Max Log Lift;Steintossen;Webster Stones;Stones of Strength;Car Walk;Farmer's Walk;Atlas Stones;Truck Pull;Natural Stones;Frame Carry;Stone Over Bar;Log Lift;Deadlift;Arm Over Arm Pull;Keg Toss;Squat Lift;Viking Press;Power Stairs;Medley;Axle Press;Tank Pull;Sack Carry;Loading Race;Boat Pull;Car Flip;Crucifix Hold;Bar Bend;Tug of War;Tire Flip;Hercules Hold;Rock Press;Conan's Wheel;Wheelbarrow Carry;Block Carry;Max Axle Press;Shield Carry;Overhead Medley;Front Hold;Bus Pull;Flip & Drag;Nicol Stones;Deadlift Ladder;Carry & Drag;Log Ladder;Load & Push;Deadlift Hold;Fingal's Fingers;Carry Medley;Log Medley;Africa Stone;Sled Pull;Keg Carry;Hip Lift;Carry & Flip;Cross Carry;Pole Push;Safe Lift;Dumbbell Medley;Max Stone Press;Vertical Lift;Cyr Dumbbell Ladder;Inver Stones;Rogue-a-Coaster;The Duel;Sandbag Toss;Leg Press;Medley #1;Chest Press;Medley #2;Flag Hoist;McGlashen Stones;Plane Pull;Train Pull;Fridge Carry;Ding Carry;Circus Barbell;Kettlebell Toss;Overhead Press;Giant's Medley;Titan's Turntable;Flintstone Barbell;Max Dumbbell;Basque Circle;Car Pull;Giant Farmer's Walk;Wrestling;Block Press;Norse Hammers;Load & Drag;Bullion Toss;Last Man Standing;Elephant Carry;Load & Carry;Circle of Strength;Loading Medley;Pickaxe Hold;Stone Off;Train Push;Wrecking Ball Hold;Deadlift Machine;Chain Railway Carriage;Axle Death-Lift
2005;WSM Final - group;D. Pope;;;;;;;;;;;;;;;;;;;;;;;;;;22.89;;;;;9.0;;;;5.0;;;35.5;;;;;;;;;;;45.23;;;;;;;;;;;;;;;;;39.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final - group;M. Starov;;;;;;;;;;;;;;;;;;;;;;;;;;45.67;;;;;9.0;;;;7.0;;;34.8;;;;;;;;;;;26.99;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final - group;S. Bourgeois;;;;;;;;;;;;;;;;;;;;;;;;;;32.72;;;;;3.0;;;;6.0;;;26.1;;;;;;;;;;;53.59;;;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final - group;B. Irwin;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;8.0;;;;5.0;;;23.5;;;;;;;;;;;25.58;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final - group;J. Virtanen;;;;;;;;;;;;;;;;;;;;;;;;;;24.67;;;;;5.0;67.71;;;;;;;;;;;;;;;;;41.13;;;;;;;;;;;;;31.01;;;;48.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final - group;D. Ostlund;;;;;;;;;;;;;;;;;;;;;;;;;;20.03;;;;;4.0;6.0;;;;;;;;;;;;;;;;;40.87;;;;;;;;;;;;;30.23;;;;43.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final - group;J. Paulin;;;;;;;;;;;;;;;;;;;;;;;;;;25.53;;;;;2.0;5.0;;;;;;;;;;;;;;;;;60.37;;;;;;;;;;;;;30.97;;;;44.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final - group;K. Nee;;;;;;;;;;;;;;;;;;;;;;;;;;25.37;;;;;5.0;6.0;;;;;;;;;;;;;;;;;50.73;;;;;;;;;;;;;31.58;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final - group;S. Toczek;;;;;;;;;;;;;;;;;;;;;;;;;;27.07;;;;;8.0;5.0;;;;;;;;;;;;;;;;;40.97;;;;;;;;;;;;;27.5;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final - group;J. Marunde;;;;;;;;;;;;;;;;;;;;;;;;;;20.41;37.6;;;;;19.62;;;;14.0;;32.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final - group;T. Mitt;;;;;;;;;;;;;;;;;;;;;;;;;;23.06;37.07;;;;;4.0;;;;13.0;;31.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final - group;T. Hollands;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;34.07;;;;;6.0;;;;4.0;;27.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final - group;C. Waitoa;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;45.34;;;;;7.0;;;;6.0;;27.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final - group;G. Yanli;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;18.7;;;;;3.0;;;;3.0;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;M. Pudzianowski;;;;;;;;;;;;;;;;;;;;;;;;22.44;;;;;;;;17.0;;10.0;;;;25.59;;;;2.0;;;;;;;;53.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;D. Pope;;;;;;;;;;;;;;;;;;;;;;;;22.3;;;;;;;;10.0;;10.0;;;;32.83;;;;2.0;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;A. Haugen;;;;;;;;;;;;;;;;;;;;;;;;7.6;;;;;;;;11.0;;10.0;;;;46.38;;;;3.0;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;R. Gharaei;;;;;;;;;;;;;;;;;;;;;;;;7.8;;;;;;;;8.0;;8.0;;;;30.08;;;;2.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;J. Paulin;;;;;;;;;;;;;;;;;;;;;;;;20.2;;;;;;;;10.0;;7.0;;;;31.53;;;;2.0;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;T. Hollands;;;;;;;;;;;;;;;;;;;;;;;;;14.18;;;;;;;11.0;;3.0;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;26.91;;;;47.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;R. Vidzis;;;;;;;;;;;;;;;;;;;;;;;;;15.37;;;;;;;11.0;;6.0;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;51.17;;;;58.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;J. Marunde;;;;;;;;;;;;;;;;;;;;;;;;;16.88;;;;;;;8.0;;10.0;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;29.91;;;;37.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;D. Ostlund;;;;;;;;;;;;;;;;;;;;;;;;;15.63;;;;;;;8.0;;8.0;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;39.7;;;;39.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;G. Yanli;;;;;;;;;;;;;;;;;;;;;;;;;35.55;;;;;;;0.0;;0.0;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;24.3;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;P. Pfister;;;;;;;;;;;;;;;;;;;;;;;;20.8;14.53;;;;;;;11.0;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;31.23;;;;32.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;M. Felix;;;;;;;;;;;;;;;;;;;;;;;;34.91;14.83;;;;;;;17.0;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;28.8;;;;37.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;J. Virtanen;;;;;;;;;;;;;;;;;;;;;;;;23.43;10.5;;;;;;;11.0;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;26.84;;;;41.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;E. Nigmatullin;;;;;;;;;;;;;;;;;;;;;;;;16.6;15.29;;;;;;;13.0;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;32.14;;;;44.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;D. Sadler;;;;;;;;;;;;;;;;;;;;;;;;52.2;16.16;;;;;;;12.0;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;30.87;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;T. Mitt;;;;;;;;;;;;;;;;;;;;;;;;;14.82;;;;;;;12.0;;10.0;;;;;;;;2.0;;;;;;;;60.09;;;;;;;;;;;;26.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;J. Dymek;;;;;;;;;;;;;;;;;;;;;;;;;16.53;;;;;;;14.0;;10.0;;;;;;;;3.0;;;;;;;;1.0;;;;;;;;;;;;10.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;B. Haraldsson;;;;;;;;;;;;;;;;;;;;;;;;;17.7;;;;;;;10.0;;10.0;;;;;;;;2.0;;;;;;;;4.0;;;;;;;;;;;;34.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;D. Filiou;;;;;;;;;;;;;;;;;;;;;;;;;16.01;;;;;;;7.0;;10.0;;;;;;;;2.0;;;;;;;;1.0;;;;;;;;;;;;28.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;K. Nee;;;;;;;;;;;;;;;;;;;;;;;;;17.09;;;;;;;14.0;;9.0;;;;;;;;2.0;;;;;;;;0.0;;;;;;;;;;;;30.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;S. Wenta;;;;;;;;;;;;;;;;;;;;;;;;42.73;;;;;;;;9.0;;;;;;29.25;;;;2.0;;;;;;;;2.0;;;;;;;;;;;;;;;;36.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;S. Toczek;;;;;;;;;;;;;;;;;;;;;;;;21.3;;;;;;;;10.0;;;;;;30.79;;;;2.0;;;;;;;;1.0;;;;;;;;;;;;;;;;24.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;J. Thigpen;;;;;;;;;;;;;;;;;;;;;;;;8.2;;;;;;;;6.0;;;;;;33.69;;;;2.0;;;;;;;;1.0;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;O. Haugen;;;;;;;;;;;;;;;;;;;;;;;;11.9;;;;;;;;9.0;;;;;;35.89;;;;2.0;;;;;;;;0.0;;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final - group;M. Samuelsson;;;;;;;;;;;;;;;;;;;;;;;;5.2;;;;;;;;0.0;;;;;;31.09;;;;0.0;;;;;;;;0.0;;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;T. Mitt;;;;;;;;;;;;;;;;;;;;;;;;;;20.45;;;;;;6.0;;;;;;25.89;;;;;;;;;;;52.49;;;;;;;;;;;;;;;;;42.49;;;;;;;;;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;P. Pfister;;;;;;;;;;;;;;;;;;;;;;;;;;4.03;;;;;;3.0;;;;;;25.43;;;;;;;;;;;58.07;;;;;;;;;;;;;;;;;32.29;;;;;;;;;;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;E. Nigmatullin;;;;;;;;;;;;;;;;;;;;;;;;;;25.32;;;;;;6.0;;;;;;51.83;;;;;;;;;;;37.27;;;;;;;;;;;;;;;;;42.13;;;;;;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;D. Filiou;;;;;;;;;;;;;;;;;;;;;;;;;;20.8;;;;;;5.0;;;;;;30.29;;;;;;;;;;;24.55;;;;;;;;;;;;;;;;;40.3;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;D. Sadler;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;5.0;;;;;;41.62;;;;;;;;;;;32.73;;;;;;;;;;;;;;;;;41.22;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;D. Pope;;;;;;;;;;;;;;;;;;;;;;;;;;44.37;;;;;;;;10.0;34.96;;;26.12;;;;;;;;;;;32.65;;;;;;;;;;;;;;;;;;;;;;;;;;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;S. Wenta;;;;;;;;;;;;;;;;;;;;;;;;;;27.35;;;;;;;;10.0;4.0;;;31.32;;;;;;;;;;;28.54;;;;;;;;;;;;;;;;;;;;;;;;;;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;S. Todorchev;;;;;;;;;;;;;;;;;;;;;;;;;;23.44;;;;;;;;3.0;5.0;;;33.56;;;;;;;;;;;42.25;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;M. Westaby;;;;;;;;;;;;;;;;;;;;;;;;;;28.95;;;;;;;;9.0;6.0;;;26.33;;;;;;;;;;;21.28;;;;;;;;;;;;;;;;;;;;;;;;;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;K. Gillingham;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;10.0;3.0;;;60.99;;;;;;;;;;;37.58;;;;;;;;;;;;;;;;;;;;;;;;;;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;M. Felix;;;;;;;;;;;;;;;;;;;;;;;;;;24.87;;;;;;28.39;;;;;;36.37;;;;;;;;;;;57.64;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;K. Nee;;;;;;;;;;;;;;;;;;;;;;;;;;22.3;;;;;;29.57;;;;;;44.0;;;;;;;;;;;36.42;;;;;;;;;;;;;;;;;3.0;;;;;;;;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;J. Dymek;;;;;;;;;;;;;;;;;;;;;;;;;;27.54;;;;;;30.83;;;;;;59.84;;;;;;;;;;;42.67;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;F. Trimpl;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;40.29;;;;;;54.35;;;;;;;;;;;60.37;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;D. Boyer;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;7.0;;;;;;30.4;;;;;;;;;;;30.92;;;;;;;;;;;;;;;;;3.0;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;M. Pudzianowski;;;;;;;;;;;;;;;;;;;;;;;;;;8.07;;;;;18.0;;;10.0;21.38;;;24.23;;;;;;;;;;;46.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;D. Ostlund;;;;;;;;;;;;;;;;;;;;;;;;;;22.26;;;;;10.0;;;10.0;26.13;;;26.73;;;;;;;;;;;37.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;J. Marku;;;;;;;;;;;;;;;;;;;;;;;;;;27.44;;;;;13.0;;;2.0;20.83;;;56.79;;;;;;;;;;;40.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;J. Virtanen;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;8.0;;;4.0;25.1;;;27.34;;;;;;;;;;;38.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;B. Haraldsson;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;13.0;;;7.0;7.0;;;51.9;;;;;;;;;;;33.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;T. Hollands;;;;;;;;;;;;;;;;;;;;;;;;;;22.04;;;;;11.0;26.99;;9.0;;;;31.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;39.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;M. Samuelsson;;;;;;;;;;;;;;;;;;;;;;;;;;21.81;;;;;13.0;38.57;;10.0;;;;48.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;R. Vidzis;;;;;;;;;;;;;;;;;;;;;;;;;;22.05;;;;;12.0;30.4;;6.0;;;;32.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;J. Bergmann;;;;;;;;;;;;;;;;;;;;;;;;;;22.39;;;;;12.0;35.48;;4.0;;;;45.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final - group;R. Skog;;;;;;;;;;;;;;;;;;;;;;;;;;31.16;;;;;11.0;4.0;;7.0;;;;38.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;D. Poundstone;;;;;;;;;;;;;;;;;;;;;;;;;;38.57;51.03;;;;;41.81;;;;12.0;;;;;;31.36;;;;;;;;;;;;;;;;;;;;;;;;40.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;J. Bergmann;;;;;;;;;;;;;;;;;;;;;;;;;;22.68;66.71;;;;;32.27;;;;13.0;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;56.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;M. Felix;;;;;;;;;;;;;;;;;;;;;;;;;;18.27;49.72;;;;;7.0;;;;11.0;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;S. Pétursson;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;61.32;;;;;5.0;;;;10.0;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;J. Dymek;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;4.0;;;;;5.0;;;;13.0;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;I. Werner;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;1.6;;;;;5.0;;;;7.0;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;P. Pfister;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;40.85;;;;;;;47.38;24.03;;;;9.0;;;55.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;S. Wenta;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;54.41;;;;;;;75.0;4.0;;;;9.0;;;34.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;J. Årsjö;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;58.1;;;;;;;8.0;6.0;;;;7.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;R. Skog;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;47.44;;;;;;;7.0;3.0;;;;7.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;O. Thompson;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;64.18;;;;;;;6.0;7.0;;;;8.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;T. Ide;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;69.19;;;;;;;3.0;4.0;;;;1.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;T. Mitt;;;;;;;;;;;;;;;;;;;;;;;;;;23.22;45.41;;;;;4.0;;28.47;;;;;9.0;;;54.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;T. Hollands;;;;;;;;;;;;;;;;;;;;;;;;;;21.56;38.37;;;;;5.0;;75.0;;;;;6.0;;;55.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;K. Nee;;;;;;;;;;;;;;;;;;;;;;;;;;24.67;8.7;;;;;6.0;;8.0;;;;;9.0;;;56.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;E. Nigmatullin;;;;;;;;;;;;;;;;;;;;;;;;;;29.83;52.91;;;;;5.0;;6.0;;;;;6.0;;;63.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;J. Virtanen;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;48.12;;;;;3.0;;6.0;;;;;5.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;WSM Final - group;J. Caron;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;0.75;;;;;6.0;;4.0;;;;;4.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
