year;competition_name;competitor;Apollon's Wheels;Max Deadlift;Hummer Push;Timber Carry;Medicine Ball Toss;Hammer Lift;Dumbbell Press;Weight Throw;Super Yoke;Manhood Stones;Austrian Oak;Bale Tote;Cyr Dumbbell;Bag Over Bar;Stone to Shoulder;Húsafell Stone;Wheel of Pain;Trial by Stone;Max Squat;Max Log Lift;Steintossen;Webster Stones;Stones of Strength;Car Walk;Farmer's Walk;Atlas Stones;Truck Pull;Natural Stones;Frame Carry;Stone Over Bar;Log Lift;Deadlift;Arm Over Arm Pull;Keg Toss;Squat Lift;Viking Press;Power Stairs;Medley;Axle Press;Tank Pull;Sack Carry;Loading Race;Tire Flip;Hercules Hold;Rock Press;Conan's Wheel;Crucifix Hold;Wheelbarrow Carry;Block Carry;Max Axle Press;Shield Carry;Overhead Medley;Front Hold;Bus Pull;Flip & Drag;Nicol Stones;Deadlift Ladder;Carry & Drag;Deadlift Hold;Fingal's Fingers;Carry Medley;Log Medley;Africa Stone;Sled Pull;Keg Carry;Hip Lift;Carry & Flip;Cross Carry;Pole Push;Safe Lift;Dumbbell Medley;Cyr Dumbbell Ladder;Inver Stones;Rogue-a-Coaster;The Duel;Leg Press;Medley #1;Chest Press;Medley #2;Flag Hoist;McGlashen Stones;Car Flip;Tug of War;Plane Pull;Vertical Lift;Train Pull;Fridge Carry;Ding Carry;Circus Barbell;Kettlebell Toss;Overhead Press;Giant's Medley;Log Ladder;Titan's Turntable;Flintstone Barbell;Max Dumbbell;Basque Circle;Car Pull;Giant Farmer's Walk;Wrestling;Block Press;Norse Hammers;Load & Drag;Bullion Toss;Last Man Standing;Elephant Carry;Load & Carry;Circle of Strength;Loading Medley;Pickaxe Hold;Stone Off;Train Push;Wrecking Ball Hold;Deadlift Machine;Chain Railway Carriage;Axle Death-Lift
2020;Shaw Classic;B. Shaw;;kg;;;;;reps;;;;;;;;;;;;;kg;;;;;s;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Shaw Classic;J. Caron;;kg;;;;;reps;;s;;;;;;;;;;;kg;;;;;s;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Shaw Classic;O. Novikov;;kg;;;;;reps;;s;;;;;;;;;;;kg;;;;;m;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Shaw Classic;T. Mitchell;;kg;;;;;reps;;;;;;;;;;;;;kg;;;;;m;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Shaw Classic;J. Pritchett;;kg;;;;;reps;;;;;;;;;;;;;kg;;;;;s;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Shaw Classic;A. Bishop;;kg;;;;;reps;;;;;;;;;;;;;kg;;;;;m;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Shaw Classic;L. Stoltman;;kg;;;;;reps;;;;;;;;;;;;;kg;;;;;m;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Shaw Classic;M. Boudreault;;kg;;;;;reps;;;;;;;;;;;;;kg;;;;;s;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Shaw Classic;K. Faires;;kg;;;;;reps;;;;;;;;;;;;;kg;;;;;s;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Shaw Classic;T. Hollands;;;;;;;;;;;;;;;;;;;;;;;;;m;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Shaw Classic;T. Mitchell;;kg;;;;;reps;;;;;;;bags;;;;;;kg;;;;;;s;;;;;;;;;reps;;;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Shaw Classic;B. Shaw;;kg;;;;;reps;;s;;;;;s;;;;;;kg;;;;;;s;;;;;;;;;reps;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Shaw Classic;J. Caron;;kg;;;;;reps;;;;;;;s;;;;;;kg;;;;;;stones;;;;;;;;;reps;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Shaw Classic;K. Faires;;kg;;;;;reps;;;;;;;bags;;;;;;kg;;;;;;s;;;;;;;;;reps;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Shaw Classic;E. Singleton;;kg;;;;;reps;;s;;;;;bags;;;;;;kg;;;;;;s;;;;;;;;;;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Shaw Classic;B. Thompson;;kg;;;;;reps;;;;;;;bags;;;;;;kg;;;;;;stones;;;;;;;;;reps;;;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Shaw Classic;A. Bishop;;kg;;;;;reps;;;;;;;bags;;;;;;kg;;;;;;stones;;;;;;;;;reps;;;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Shaw Classic;M. Boudreault;;;;;;;reps;;;;;;;s;;;;;;kg;;;;;;stones;;;;;;;;;reps;;;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Shaw Classic;A. Šmaukstelis;;kg;;;;;reps;;;;;;;bags;;;;;;kg;;;;;;stones;;;;;;;;;reps;;;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Shaw Classic;K. Janashia;;kg;;;;;;;s;;;;;bags;;;;;;kg;;;;;;stones;;;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Shaw Classic;G. Hicks;;kg;;;;;reps;;;;;;;bags;;;;;;kg;;;;;;stones;;;;;;;;;reps;;;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Shaw Classic;Ž. Savickas;;;;;;;;;s;;;;;bags;;;;;;kg;;;;;;stones;;;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Shaw Classic;G. Rhéaume;;;;;;;reps;;;;;;;;;;;;;;;;;;;stones;;;;;;;;;reps;;;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Shaw Classic;G. Peña;;kg;;;;;;;m;;;;;bags;;;;;;;;;;;;stones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Shaw Classic;J. Pritchett;;kg;;;;;;;;;;;;bags;;;;;;;;;;;;stones;;;;;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Shaw Classic;M. Shivlyakov;;;;;;;;;;;;;;bags;;;;;;kg;;;;;;stones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Shaw Classic;T. Mitchell;;kg;;;;;reps;;s;;;;;bags;;;;;;;;;;;;s;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Shaw Classic;B. Shaw;;kg;;;;;reps;;s;;;;;bags;;;;;;;;;;;;s;;;;;reps;;;;;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Shaw Classic;M. Hooper;;kg;;;;;reps;;s;;;;;bags;;;;;;;;;;;;s;;;;;reps;;;;;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Shaw Classic;O. Novikov;;kg;;;;;reps;;s;;;;;bags;;;;;;;;;;;;stones;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Shaw Classic;M. Boudreault;;;;;;;reps;;s;;;;;bags;;;;;;;;;;;;stones;;;;;reps;;;;;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Shaw Classic;K. Faires;;kg;;;;;reps;;s;;;;;bags;;;;;;;;;;;;stones;;;;;reps;;;;;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Shaw Classic;A. Šmaukstelis;;kg;;;;;reps;;s;;;;;bags;;;;;;;;;;;;stones;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Shaw Classic;E. Singleton;;kg;;;;;reps;;s;;;;;bags;;;;;;;;;;;;stones;;;;;reps;;;;;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Shaw Classic;K. Janashia;;kg;;;;;reps;;s;;;;;bags;;;;;;;;;;;;stones;;;;;reps;;;;;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
