year;competition_name;event_name;distance;time_limit;main_measurement_unit;second_measurement_unit;min_weight;max_weight;weights;deadlift;attempts;max_lifts;lifts_num;implements_num;implements
2020;Arnold Strongman Classic;Super Yoke;20.0;;s;m;450.0;550.0;[450.0, 550.0];;;;;2;['', '']
2020;Arnold Strongman Classic;Stone Over Bar;;;reps;;220.0;220.0;[220.0];;;;;;
2020;Arnold Strongman Classic;Log Lift;;;reps;;180.0;180.0;[180.0];;;;;;
2020;Arnold Strongman Classic;Super Yoke;20.0;;s;m;500.0;500.0;[500.0];;;;;;
2020;Arnold Strongman Classic;Max Log Lift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Power Stairs;;;s;stairs;190.0;240.0;[190.0, 240.0];;;5.0;;1;['']
2020;Arnold Strongman Classic;Viking Press;;;reps;;160.0;160.0;[160.0];;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;14-inch frame deadlift;;;;;
2020;Arnold Strongman Classic;Atlas Stones;;;s;reps;170.0;225.0;[170.0, 225.0];;;5.0;;5.0;
2020;Arnold Strongman Classic;Log Lift;;60.0;reps;;180.0;180.0;[180.0];;;;;;
2020;Arnold Strongman Classic;Super Yoke;25.0;;s;m;455.0;455.0;[455.0];;;;;;
2020;Arnold Strongman Classic;Farmer's Walk;25.0;;s;m;170.0;170.0;[170.0];;;;;;
2020;Arnold Strongman Classic;Deadlift;;60.0;reps;;365.0;365.0;[365.0];;;;;;
2020;Arnold Strongman Classic;Arm Over Arm Pull;;;s;m;;;;;;;;;
2020;Arnold Strongman Classic;Arm Over Arm Pull;;;s;;600.0;600.0;[600.0];;;;;;
2020;Arnold Strongman Classic;Dumbbell Press;;;reps;;120.0;120.0;[120.0];;;;;;
2020;Arnold Strongman Classic;Super Yoke;20.0;;s;m;480.0;480.0;[480.0];;;;;;
2020;Arnold Strongman Classic;Atlas Stones;;;s;reps;130.0;180.0;[130.0, 180.0];;;6;;6.0;
