Year;Comp name;#;Competitor;Country;TOT. PTS;Pts;Pts.1;Pts.2;Pts.3;Pts.4;Pts.5;Pts.6;Pts.7;Pts.8;Pts.9;Pts.10
2020;Arnold Strongman Classic;2;M. Kieliszkowski;POL;50.5;10.0;7.5;10.0;3.0;10.0;10.0;;;;;
2020;Arnold Strongman Classic;3;M. Licis;USA;36.5;4.5;6.0;9.0;4.5;8.0;4.5;;;;;
2020;Arnold Strongman Classic;4;J. Caron;CAN;33.0;7.0;7.5;2.0;9.0;6.0;1.5;;;;;
2020;Arnold Strongman Classic;5;O. Novikov;UKR;31.0;6.0;3.5;7.0;2.0;4.0;8.5;;;;;
2020;Arnold Strongman Classic;6;R. Kearney;USA;29.0;8.0;3.5;6.0;6.0;1.0;4.5;;;;;
2020;Arnold Strongman Classic;6;M. Shivlyakov;RUS;29.0;1.5;9.0;1.0;8.0;5.0;4.5;;;;;
2020;Arnold Strongman Classic;8;J. Pritchett;USA;27.0;4.5;3.5;4.0;4.5;9.0;1.5;;;;;
2020;Arnold Strongman Classic;9;B. Thompson;USA;24.0;3.0;3.5;3.0;7.0;3.0;4.5;;;;;
2020;Arnold Strongman Classic;10;M. BelÅ¡ak;SLO;17.5;1.5;1.0;5.0;1.0;2.0;7.0;;;;;
2022;Arnold Strongman Classic;1;M. Licis;USA;41.0;8.0;7.0;7.0;9.0;10.0;;;;;;
2022;Arnold Strongman Classic;2;O. Novikov;UKR;37.5;6.0;10.0;4.5;8.0;9.0;;;;;;
2022;Arnold Strongman Classic;3;L. Stoltman;GBR;30.5;1.0;7.0;10.0;6.0;6.5;;;;;;
2022;Arnold Strongman Classic;3;B. Thompson;USA;30.5;7.0;2.5;8.0;5.0;8.0;;;;;;
2022;Arnold Strongman Classic;5;R. Kearney;USA;28.5;9.0;9.0;4.5;3.0;3.0;;;;;;
2022;Arnold Strongman Classic;6;M. Boudreault;CAN;27.0;4.5;5.0;4.5;10.0;3.0;;;;;;
2022;Arnold Strongman Classic;7;T. Mitchell;USA;21.5;3.0;2.5;9.0;2.0;5.0;;;;;;
2022;Arnold Strongman Classic;7;T. Stoltman;GBR;21.5;4.5;2.5;4.5;7.0;3.0;;;;;;
2022;Arnold Strongman Classic;9;E. Markov;RUS;21.0;2.0;7.0;1.5;4.0;6.5;;;;;;
2022;Arnold Strongman Classic;10;J. Caron;CAN;14.0;10.0;2.5;1.5;0.0;0.0;;;;;;
2023;Arnold Strongman Classic;1;M. Hooper;CAN;41.5;8.0;8.5;9.0;8.0;8.0;;;;;;
2023;Arnold Strongman Classic;2;M. Kieliszkowski;POL;37.5;10.0;4.5;3.0;10.0;10.0;;;;;;
2023;Arnold Strongman Classic;3;B. Thompson;USA;29.5;1.0;8.5;10.0;6.0;4.0;;;;;;
2023;Arnold Strongman Classic;4;T. Mitchell;USA;29.0;9.0;10.0;7.0;3.0;0.0;;;;;;
2023;Arnold Strongman Classic;5;T. Evans;USA;25.5;4.0;4.5;5.0;9.0;3.0;;;;;;
2023;Arnold Strongman Classic;6;P. Nakonechnyy;UKR;24.5;7.0;4.5;0.0;7.0;6.0;;;;;;
2023;Arnold Strongman Classic;6;T. Stoltman;GBR;24.5;6.0;4.5;2.0;5.0;7.0;;;;;;
2023;Arnold Strongman Classic;8;R. Kearney;USA;21.0;2.0;7.0;8.0;2.0;2.0;;;;;;
2023;Arnold Strongman Classic;9;K. Faires;USA;20.0;3.0;1.0;6.0;1.0;9.0;;;;;;
2023;Arnold Strongman Classic;9;L. Stoltman;GBR;20.0;5.0;2.0;4.0;4.0;5.0;;;;;;
2013;Europe's Strongest Man;1;Å½. Savickas;LTU;66.5;12.0;8.5;11.0;12.0;12.0;11.0;;;;;
2013;Europe's Strongest Man;2;V. Lalas;LTU;59.5;10.0;8.5;10.0;10.0;11.0;10.0;;;;;
2013;Europe's Strongest Man;3;K. Radzikowski;POL;53.0;11.0;10.0;9.0;6.0;9.0;8.0;;;;;
2013;Europe's Strongest Man;4;H. BjÃ¶rnsson;ISL;49.0;6.0;6.0;6.0;9.0;10.0;12.0;;;;;
2013;Europe's Strongest Man;5;L. Shahlaei;GBR;44.0;6.0;12.0;6.0;11.0;3.0;6.0;;;;;
2013;Europe's Strongest Man;6;M. Felix;GBR;39.0;0.0;5.0;12.0;7.0;6.0;9.0;;;;;
2013;Europe's Strongest Man;7;T. Hollands;GBR;33.0;0.0;11.0;6.0;5.0;8.0;3.0;;;;;
2013;Europe's Strongest Man;8;E. Hall;GBR;32.0;9.0;4.0;6.0;3.0;5.0;5.0;;;;;
2013;Europe's Strongest Man;9;J. Fennelly;IRL;28.0;0.0;3.0;6.0;8.0;4.0;7.0;;;;;
2013;Europe's Strongest Man;10;J. Ã…rsjÃ¶;SWE;19.0;8.0;7.0;3.0;1.0;0.0;0.0;;;;;
2013;Europe's Strongest Man;11;J. McIntosh;GBR;17.0;0.0;1.0;1.0;4.0;7.0;4.0;;;;;
2013;Europe's Strongest Man;12;O. Hansen;NOR;12.0;6.0;2.0;2.0;2.0;0.0;0.0;;;;;
2014;Europe's Strongest Man;1;H. BjÃ¶rnsson;ISL;55.0;6.0;9.0;10.0;10.0;10.0;10.0;;;;;
2014;Europe's Strongest Man;2;J. Ã…rsjÃ¶;SWE;47.5;6.0;10.0;7.0;7.5;9.0;8.0;;;;;
2014;Europe's Strongest Man;3;G. Hicks;GBR;45.0;3.0;7.0;9.0;9.0;8.0;9.0;;;;;
2014;Europe's Strongest Man;4;K. Radzikowski;POL;39.5;3.0;8.0;8.0;7.5;6.0;7.0;;;;;
2014;Europe's Strongest Man;5;M. Felix;GBR;37.0;6.0;6.0;6.0;6.0;7.0;6.0;;;;;
2014;Europe's Strongest Man;6;M. Wildauer;AUT;28.5;8.5;5.0;5.0;5.0;5.0;0.0;;;;;
2014;Europe's Strongest Man;7;E. Hall;GBR;10.0;10.0;0.0;0.0;0.0;0.0;0.0;;;;;
2014;Europe's Strongest Man;8;L. Shahlaei;GBR;8.5;8.5;0.0;0.0;0.0;0.0;0.0;;;;;
2014;Europe's Strongest Man;9;V. Lalas;LTU;3.0;3.0;0.0;0.0;0.0;0.0;0.0;;;;;
2014;Europe's Strongest Man;10;M. Koklyaev;RUS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
2015;Europe's Strongest Man;1;H. BjÃ¶rnsson;ISL;52;9.0;10.0;10.0;7.0;6.0;10.0;;;;;
2015;Europe's Strongest Man;2;K. Radzikowski;POL;48;5.0;7.0;8.0;10.0;10.0;8.0;;;;;
