Year;Comp name;Event;Info
2015;WSM Final - group;Bus Pull;17500 kg / 25 meters / 60 second time limit 
2015;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 150 to 210 kg
2015;WSM Final - group;Loading Race;3 implements / 60 second time limit / 1 sack: 125 kg, 2 tires: 160 kg each 
2015;WSM Final - group;Norse Hammers;3 implements / 60 second time limit / 161 to 172 kg 
2015;WSM Final - group;Squat Lift;320 kg / 60 second time limit 
2015;WSM Final - group;Basque Circle;279 kg 
2015;WSM Final - group;Dumbbell Press;100 kg / 60 second time limit 
2015;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 150 to 210 kg
2015;WSM Final - group;Loading Race;3 implements / 60 second time limit / 1 sack: 125 kg, 2 tires: 160 kg each 
2015;WSM Final - group;Norse Hammers;3 implements / 60 second time limit / 161 to 172 kg 
2015;WSM Final - group;Squat Lift;320 kg / 60 second time limit 
2015;WSM Final - group;Dumbbell Press;100 kg / 60 second time limit 
2015;WSM Final - group;Bus Pull;17500 kg / 25 meters / 60 second time limit 
2015;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 150 to 210 kg
2015;WSM Final - group;Loading Race;3 implements / 60 second time limit / 1 sack: 125 kg, 2 barrels: 111 kg each 
2015;WSM Final - group;Deadlift;370 kg / 60 second time limit / Car deadlift 
2015;WSM Final - group;Circus Barbell;161 kg / 60 second time limit 
2015;WSM Final - group;Kettlebell Toss;7 implements / 60 second time limit / 23 to 30 kg, 4.70 metres 
2015;WSM Final - group;Basque Circle;279 kg 
2015;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 150 to 210 kg
2015;WSM Final - group;Loading Race;3 implements / 60 second time limit / 1 sack: 125 kg, 2 tires: 160 kg each 
2015;WSM Final - group;Deadlift;370 kg / 60 second time limit / Car deadlift 
2015;WSM Final - group;Circus Barbell;161 kg / 60 second time limit 
2015;WSM Final - group;Kettlebell Toss;7 implements / 60 second time limit / 23 to 30 kg, 4.70 metres 
2015;WSM Final - group;Bus Pull;17500 kg / 25 meters / 60 second time limit 
2015;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 150 to 210 kg
2016;WSM Final - group;Loading Race;3 implements / 14 meters / 75 second time limit / 3x 130 kg oil drums 
2016;WSM Final - group;Hercules Hold;180 kg 
2016;WSM Final - group;Fingal's Fingers;5 implements / 60 second time limit / 145 to 175 kg 
2016;WSM Final - group;Squat Lift;325 kg / 60 second time limit 
2016;WSM Final - group;Dumbbell Press;100 kg / 75 second time limit 
2016;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 138 to 200 kg
2016;WSM Final - group;Loading Race;4 implements / 12 meters / 75 second time limit / 4x 125 kg sacks 
2016;WSM Final - group;Truck Pull;18000 kg / 25 meters / 60 second time limit 
2016;WSM Final - group;Keg Toss;15 kg / For max height, 3 attempts to clear each height 
2016;WSM Final - group;Deadlift;363 kg / 60 second time limit / Car deadlift 
2016;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 138 to 200 kg 
2016;WSM Final - group;Viking Press;154 kg / 60 second time limit / No resting allowed
2016;WSM Final - group;Loading Race;3 implements / 14 meters / 75 second time limit / 3x 130 kg oil drums 
2016;WSM Final - group;Fingal's Fingers;5 implements / 60 second time limit / 145 to 175 kg 
2016;WSM Final - group;Keg Toss;15 kg / For max height, 3 attempts to clear each height 
2016;WSM Final - group;Deadlift;363 kg / 60 second time limit / Car deadlift 
2016;WSM Final - group;Dumbbell Press;100 kg / 60 second time limit 
2016;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 138 to 200 kg
2016;WSM Final - group;Loading Race;3 implements / 14 meters / 75 second time limit / 3x 130 kg oil drums 
2016;WSM Final - group;Hercules Hold;180 kg 
2016;WSM Final - group;Truck Pull;18000 kg / 25 meters / 60 second time limit 
2016;WSM Final - group;Squat Lift;325 kg / 60 second time limit 
2016;WSM Final - group;Dumbbell Press;100 kg / 60 second time limit 
2016;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 138 to 200 kg
2016;WSM Final - group;Loading Race;4 implements / 12 meters / 75 second time limit / 4x 125 kg sacks 
2016;WSM Final - group;Truck Pull;18000 kg / 25 meters / 60 second time limit 
2016;WSM Final - group;Keg Toss;15 kg / For max height, 3 attempts to clear each height 
2016;WSM Final - group;Deadlift;363 kg / 60 second time limit / Car deadlift 
2016;WSM Final - group;Viking Press;154 kg / 60 second time limit / No resting allowed 
2016;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 138 to 200 kg
2017;WSM Final - group;Load & Drag;3 implements / 12 meters / 75 second time limit / 2x 110 kg sacks, 350 kg cart 
2017;WSM Final - group;Log Lift;158 kg / 75 second time limit 
2017;WSM Final - group;Fingal's Fingers;5 implements / 60 second time limit / 145 to 170 kg 
2017;WSM Final - group;Deadlift;350 kg / 60 second time limit 
2017;WSM Final - group;Bullion Toss;8 implements / 60 second time limit / 17.5 to 25 kg, 4.75 metres 
2017;WSM Final - group;Last Man Standing;160 kg / 15 second time limit
2017;WSM Final - group;Load & Drag;3 implements / 10 meters / 75 second time limit / 2x 110 kg sacks, 310 kg cart 
2017;WSM Final - group;Squat Lift;320 kg / 60 second time limit 
2017;WSM Final - group;Bus Pull;15000 kg / 25 meters / 60 second time limit 
2017;WSM Final - group;Axle Press;162 kg / 75 second time limit 
2017;WSM Final - group;Bullion Toss;8 implements / 60 second time limit / 17.5 to 25 kg, 4.75 metres 
2017;WSM Final - group;Last Man Standing;160 kg / 10 second time limit
2017;WSM Final - group;Load & Drag;3 implements / 10 meters / 2x 110 kg sacks, 350 kg cart 
2017;WSM Final - group;Log Lift;158 kg / 75 second time limit 
2017;WSM Final - group;Bus Pull;15000 kg / 25 meters / 60 second time limit 
2017;WSM Final - group;Deadlift;350 kg / 60 second time limit 
2017;WSM Final - group;Elephant Carry;200 kg 
2017;WSM Final - group;Last Man Standing;160 kg / 10 second time limit
